Transaction ID,Date,Description,Amount,Category,Transaction Type
102,2025-01-29,Flipkart,802.65,Shopping,Expense
103,2025-01-29,Restaurant,382.01,Food,Expense
104,2025-01-29,Amazon,296.98,Shopping,Expense
105,2025-01-30,Auto,98.16,Transport,Expense
106,2025-01-30,Restaurant,402.2,Food,Expense
107,2025-01-30,Flipkart,948.4,Shopping,Expense
108,2025-01-30,Internet Bill,639.17,Utilities,Expense
109,2025-01-30,Restaurant,529.95,Food,Expense
110,2025-01-30,Zomato,381.77,Food,Expense
111,2025-01-30,Movie,425.98,Entertainment,Expense
112,2025-01-31,Fuel,690.1,Transport,Expense
113,2025-01-31,Restaurant,386.1,Food,Expense
114,2025-01-31,Auto,48.53,Transport,Expense
115,2025-02-01,Uber,287.42,Transport,Expense
116,2025-02-01,Uber,286.85,Transport,Expense
117,2025-02-01,Pharmacy,598.16,Healthcare,Expense
118,2025-02-01,Monthly Salary,91165.84,Salary,Income
119,2025-02-01,Grocery Store,1026.38,Food,Expense
120,2025-02-01,Doctor Consultation,654.63,Healthcare,Expense
121,2025-02-01,Restaurant,559.75,Food,Expense
122,2025-02-02,Spotify,155.54,Entertainment,Expense
123,2025-02-02,Clothing Store,767.2,Shopping,Expense
124,2025-02-03,Metro,63.41,Transport,Expense
125,2025-02-03,Myntra,446.83,Shopping,Expense
126,2025-02-04,Grocery Store,1513.95,Food,Expense
127,2025-02-04,Zomato,301.96,Food,Expense
128,2025-02-04,Grocery Store,1600.69,Food,Expense
129,2025-02-05,Monthly Rent,18609.21,Rent,Expense
130,2025-02-05,Swiggy,113.94,Food,Expense
131,2025-02-05,Zomato,370.03,Food,Expense
132,2025-02-05,Restaurant,485.4,Food,Expense
133,2025-02-06,Restaurant,321.73,Food,Expense
134,2025-02-06,Online Course,450.78,Education,Expense
135,2025-02-06,Gaming,587.44,Entertainment,Expense
136,2025-02-06,Doctor Consultation,545.8,Healthcare,Expense
137,2025-02-06,Internet Bill,694.34,Utilities,Expense
138,2025-02-06,Netflix,649.0,Entertainment,Expense
139,2025-02-07,Flipkart,230.88,Shopping,Expense
140,2025-02-08,Restaurant,667.52,Food,Expense
141,2025-02-08,Cafe,349.58,Food,Expense
142,2025-02-08,Movie,410.16,Entertainment,Expense
143,2025-02-08,Metro,99.01,Transport,Expense
144,2025-02-08,Metro,95.76,Transport,Expense
145,2025-02-08,Swiggy,233.0,Food,Expense
146,2025-02-08,Netflix,649.0,Entertainment,Expense
147,2025-02-09,Uber,156.68,Transport,Expense
148,2025-02-09,Swiggy,357.28,Food,Expense
149,2025-02-10,Swiggy,281.81,Food,Expense
150,2025-02-10,Flipkart,553.23,Shopping,Expense
151,2025-02-10,Swiggy,352.31,Food,Expense
152,2025-02-10,Medical Test,535.97,Healthcare,Expense
153,2025-02-10,Uber,180.49,Transport,Expense
154,2025-02-10,Myntra,424.77,Shopping,Expense
155,2025-02-11,Electricity Bill,1180.13,Utilities,Expense
156,2025-02-11,Restaurant,734.77,Food,Expense
157,2025-02-11,Cafe,154.1,Food,Expense
158,2025-02-11,Zomato,275.74,Food,Expense
159,2025-02-11,Myntra,997.98,Shopping,Expense
160,2025-02-13,Amazon,888.97,Shopping,Expense
161,2025-02-13,Pharmacy,780.14,Healthcare,Expense
162,2025-02-13,Cafe,190.33,Food,Expense
163,2025-02-13,Ola,130.1,Transport,Expense
164,2025-02-14,Zomato,360.61,Food,Expense
165,2025-02-14,Zomato,185.07,Food,Expense
166,2025-02-14,Fuel,808.81,Transport,Expense
167,2025-02-14,Grocery Store,1032.87,Food,Expense
168,2025-02-14,Metro,25.41,Transport,Expense
169,2025-02-14,Auto,58.69,Transport,Expense
170,2025-02-14,Movie,519.22,Entertainment,Expense
171,2025-02-15,Electricity Bill,1253.37,Utilities,Expense
172,2025-02-15,Uber,246.15,Transport,Expense
173,2025-02-15,Zomato,164.67,Food,Expense
174,2025-02-15,Grocery Store,1799.39,Food,Expense
175,2025-02-15,Zomato,136.09,Food,Expense
176,2025-02-16,Flipkart,895.7,Shopping,Expense
177,2025-02-16,Grocery Store,1250.23,Food,Expense
178,2025-02-17,Amazon,541.47,Shopping,Expense
179,2025-02-17,Swiggy,351.43,Food,Expense
180,2025-02-17,Cafe,139.08,Food,Expense
181,2025-02-17,Restaurant,761.14,Food,Expense
182,2025-02-17,Auto,93.83,Transport,Expense
183,2025-02-17,Amazon,444.55,Shopping,Expense
184,2025-02-18,Restaurant,299.42,Food,Expense
185,2025-02-18,Internet Bill,549.01,Utilities,Expense
186,2025-02-18,Ola,72.37,Transport,Expense
187,2025-02-18,Restaurant,368.87,Food,Expense
188,2025-02-18,Myntra,1025.29,Shopping,Expense
189,2025-02-18,Auto,168.5,Transport,Expense
190,2025-02-18,Swiggy,414.05,Food,Expense
191,2025-02-18,Electricity Bill,966.31,Utilities,Expense
192,2025-02-19,Ola,173.48,Transport,Expense
193,2025-02-19,Fuel,498.9,Transport,Expense
194,2025-02-20,Grocery Store,1596.25,Food,Expense
195,2025-02-20,Restaurant,612.59,Food,Expense
196,2025-02-21,Cafe,281.65,Food,Expense
197,2025-02-21,Amazon,,Shopping,Expense
198,2025-02-22,Internet Bill,539.88,Utilities,Expense
199,2025-02-22,Swiggy,243.25,Food,Expense
200,2025-02-22,Clothing Store,1521.04,Shopping,Expense
201,2025-02-22,Cafe,312.7,Food,Expense
202,2025-02-22,Swiggy,277.06,Food,Expense
203,2025-02-22,Zomato,306.35,Food,Expense
204,2025-02-22,Flipkart,206.74,Shopping,Expense
205,2025-02-22,Mobile Recharge,511.82,Utilities,Expense
206,2025-02-23,Zomato,295.0,Food,Expense
207,2025-02-23,Spotify,155.07,Entertainment,Expense
208,2025-02-23,Restaurant,607.09,Food,Expense
209,2025-02-23,Grocery Store,1122.65,Food,Expense
210,2025-02-23,Restaurant,614.95,Food,Expense
211,2025-02-24,Ola,97.14,Transport,Expense
212,2025-02-25,Cafe,188.12,Food,Expense
213,2025-02-25,Spotify,157.79,Entertainment,Expense
214,2025-02-25,Grocery Store,771.05,Food,Expense
215,2025-02-25,Restaurant,539.08,Food,Expense
216,2025-02-26,Metro,78.2,Transport,Expense
217,2025-02-26,Auto,178.21,Transport,Expense
218,2025-02-26,Amazon,1682.6,Shopping,Expense
219,2025-02-26,Amazon,817.5,Shopping,Expense
220,2025-02-26,Cafe,102.13,Food,Expense
221,2025-02-26,Myntra,625.63,Shopping,Expense
222,2025-02-27,Spotify,164.06,Entertainment,Expense
223,2025-02-27,Grocery Store,770.54,Food,Expense
224,2025-02-27,Gaming,537.88,Entertainment,Expense
225,2025-02-28,Cafe,99.17,Food,Expense
226,2025-02-28,Metro,82.01,Transport,Expense
227,2025-02-28,Swiggy,290.96,Food,Expense
228,2025-02-28,Cafe,323.78,Food,Expense
229,2025-02-28,Grocery Store,1222.38,Food,Expense
230,2025-02-28,Grocery Store,1272.43,Food,Expense
231,2025-02-28,Grocery Store,1568.65,Food,Expense
232,2025-03-01,Monthly Salary,89578.52,Salary,Income
233,2025-03-01,Grocery Store,1091.57,Food,Expense
234,2025-03-01,Clothing Store,1783.48,Shopping,Expense
235,2025-03-02,Fuel,386.52,Transport,Expense
236,2025-03-02,Zomato,206.53,Food,Expense
237,2025-03-02,Zomato,103.39,Food,Expense
238,2025-03-03,Netflix,649.0,Entertainment,Expense
239,2025-03-03,Certification,2237.42,Education,Expense
240,2025-03-03,Flipkart,847.89,Shopping,Expense
241,2025-03-03,Fuel,758.18,Transport,Expense
242,2025-03-03,Flipkart,1239.43,Shopping,Expense
243,2025-03-03,Ola,157.3,Transport,Expense
244,2025-03-04,Grocery Store,718.67,Food,Expense
245,2025-03-04,Myntra,610.35,Shopping,Expense
246,2025-03-04,Ola,168.46,Transport,Expense
247,2025-03-04,Grocery Store,563.54,Food,Expense
248,2025-03-05,Fuel,767.3,Transport,Expense
249,2025-03-05,Books,351.23,Education,Expense
250,2025-03-05,Doctor Consultation,364.17,Healthcare,Expense
251,2025-03-05,Monthly Rent,17906.35,Rent,Expense
252,2025-03-06,Grocery Store,1251.11,Food,Expense
253,2025-03-06,Clothing Store,1312.82,Shopping,Expense
254,2025-03-06,Flipkart,684.21,Shopping,Expense
255,2025-03-07,Amazon,572.5,Shopping,Expense
256,2025-03-07,Flipkart,524.58,Shopping,Expense
257,2025-03-07,Clothing Store,1719.28,Shopping,Expense
258,2025-03-08,Flipkart,1285.27,Shopping,Expense
259,2025-03-08,Cafe,243.66,Food,Expense
260,2025-03-09,Metro,32.93,Transport,Expense
261,2025-03-09,Fuel,379.06,Transport,Expense
262,2025-03-09,Amazon,710.59,Shopping,Expense
263,2025-03-09,Uber,134.3,Transport,Expense
264,2025-03-09,Uber,259.53,Transport,Expense
265,2025-03-09,Zomato,170.73,Food,Expense
266,2025-03-10,Amazon,558.03,Shopping,Expense
267,2025-03-10,Electricity Bill,1679.27,Utilities,Expense
268,2025-03-10,Swiggy,282.95,Food,Expense
269,2025-03-10,Ola,66.86,Transport,Expense
270,2025-03-10,Movie,412.34,Entertainment,Expense
271,2025-03-11,Zomato,359.85,Food,Expense
272,2025-03-11,Grocery Store,838.88,Food,Expense
273,2025-03-11,Ola,76.42,Transport,Expense
274,2025-03-11,Restaurant,382.17,Food,Expense
275,2025-03-11,Restaurant,463.99,Food,Expense
276,2025-03-11,Swiggy,418.53,Food,Expense
277,2025-03-11,Internet Bill,609.13,Utilities,Expense
278,2025-03-12,Online Course,410.51,Education,Expense
279,2025-03-12,Clothing Store,2128.24,Shopping,Expense
280,2025-03-12,Internet Bill,809.07,Utilities,Expense
281,2025-03-12,Restaurant,685.82,Food,Expense
282,2025-03-12,Grocery Store,798.33,Food,Expense
283,2025-03-12,Internet Bill,569.06,Utilities,Expense
284,2025-03-13,Cafe,144.61,Food,Expense
285,2025-03-13,Electricity Bill,1441.18,Utilities,Expense
286,2025-03-13,Flipkart,627.26,Shopping,Expense
287,2025-03-13,Auto,81.85,Transport,Expense
288,2025-03-13,Ola,267.02,Transport,Expense
289,2025-03-13,Auto,74.88,Transport,Expense
290,2025-03-14,Ola,120.64,Transport,Expense
291,2025-03-14,Ola,78.5,Transport,Expense
292,2025-03-14,Spotify,189.27,Entertainment,Expense
293,2025-03-14,Cafe,225.52,Food,Expense
294,2025-03-14,Myntra,783.18,Shopping,Expense
295,2025-03-14,Zomato,186.86,Food,Expense
296,2025-03-14,Amazon,1144.79,Shopping,Expense
297,2025-03-14,Ola,61.64,Transport,Expense
298,2025-03-15,Swiggy,377.42,Food,Expense
299,2025-03-15,Flipkart,1318.18,Shopping,Expense
300,2025-03-15,Movie,584.22,Entertainment,Expense
301,2025-03-15,Fuel,717.5,Transport,Expense
302,2025-03-15,Restaurant,545.97,Food,Expense
303,2025-03-16,Netflix,649.0,Entertainment,Expense
304,2025-03-16,Zomato,315.18,Food,Expense
305,2025-03-16,Restaurant,872.3,Food,Expense
306,2025-03-17,Zomato,169.97,Food,Expense
307,2025-03-17,Clothing Store,1984.24,Shopping,Expense
308,2025-03-17,Swiggy,310.84,Food,Expense
309,2025-03-17,Zomato,246.85,Food,Expense
310,2025-03-17,Cafe,217.23,Food,Expense
311,2025-03-17,Flipkart,612.75,Shopping,Expense
312,2025-03-17,Grocery Store,407.08,Food,Expense
313,2025-03-17,Myntra,1420.93,,Expense
314,2025-03-17,Certification,1351.44,Education,Expense
315,2025-03-18,Restaurant,655.81,Food,Expense
316,2025-03-18,Swiggy,444.38,Food,Expense
317,2025-03-18,Zomato,266.55,Food,Expense
318,2025-03-18,Netflix,649.0,Entertainment,Expense
319,2025-03-19,Cafe,237.32,Food,Expense
320,2025-03-19,Auto,113.89,Transport,Expense
321,2025-03-19,Uber,102.39,Transport,Expense
322,2025-03-19,Zomato,218.7,Food,Expense
323,2025-03-20,Zomato,268.97,Food,Expense
324,2025-03-20,Swiggy,219.67,Food,Expense
325,2025-03-20,Amazon,337.13,Shopping,Expense
326,2025-03-20,Ola,158.49,Transport,Expense
327,2025-03-21,Myntra,296.15,Shopping,Expense
328,2025-03-21,Restaurant,301.36,Food,Expense
329,2025-03-21,Metro,84.62,Transport,Expense
330,2025-03-22,Cafe,136.87,Food,Expense
331,2025-03-22,Auto,75.51,Transport,Expense
332,2025-03-22,Mobile Recharge,239.61,Utilities,Expense
333,2025-03-22,Electricity Bill,1664.61,Utilities,Expense
334,2025-03-22,Zomato,187.05,Food,Expense
335,2025-03-23,Restaurant,756.79,Food,Expense
336,2025-03-23,Restaurant,754.94,Food,Expense
337,2025-03-23,Zomato,412.99,Food,Expense
338,2025-03-23,Cafe,100.27,Food,Expense
339,2025-03-24,Cafe,188.91,Food,Expense
340,2025-03-24,Myntra,785.09,Shopping,Expense
341,2025-03-24,Gaming,537.67,Entertainment,Expense
342,2025-03-24,Clothing Store,900.17,Shopping,Expense
343,2025-03-25,Certification,1351.23,Education,Expense
344,2025-03-25,Cafe,119.78,Food,Expense
345,2025-03-25,Auto,168.59,Transport,Expense
346,2025-03-26,Electricity Bill,1657.11,Utilities,Expense
347,2025-03-26,Pharmacy,505.08,Healthcare,Expense
348,2025-03-27,Grocery Store,697.8,Food,Expense
349,2025-03-28,Uber,246.67,Transport,Expense
350,2025-03-29,Restaurant,438.07,Food,Expense
351,2025-03-29,Flipkart,380.49,Shopping,Expense
352,2025-03-29,Ola,177.5,Transport,Expense
353,2025-03-29,Certification,2607.48,Education,Expense
354,2025-03-30,Grocery Store,1201.26,Food,Expense
355,2025-03-30,Cafe,320.91,Food,Expense
356,2025-03-30,Electricity Bill,1531.99,Utilities,Expense
357,2025-03-31,Swiggy,196.24,Food,Expense
358,2025-03-31,Grocery Store,1786.48,Food,Expense
359,2025-03-31,Auto,87.93,Transport,Expense
360,2025-04-01,Fuel,941.25,Transport,Expense
361,2025-04-01,Grocery Store,1581.9,Food,Expense
362,2025-04-01,Monthly Salary,92842.58,Salary,Income
363,2025-04-01,Zomato,146.13,Food,Expense
364,2025-04-01,Fuel,307.5,Transport,Expense
365,2025-04-01,Clothing Store,801.83,Shopping,Expense
366,2025-04-02,Flipkart,1149.64,Shopping,Expense
367,2025-04-02,Doctor Consultation,504.01,Healthcare,Expense
368,2025-04-02,Grocery Store,404.41,Food,Expense
369,2025-04-02,Electricity Bill,979.36,Utilities,Expense
370,2025-04-02,Auto,123.97,Transport,Expense
371,2025-04-02,Electricity Bill,1797.17,Utilities,Expense
372,2025-04-03,Zomato,283.53,Food,Expense
373,2025-04-03,Metro,37.49,Transport,Expense
374,2025-04-03,Auto,132.32,Transport,Expense
375,2025-04-04,Zomato,313.32,Food,Expense
376,2025-04-04,Online Course,1415.66,Education,Expense
377,2025-04-04,Metro,28.21,Transport,Expense
378,2025-04-04,Amazon,1562.22,Shopping,Expense
379,2025-04-04,Doctor Consultation,963.37,Healthcare,Expense
380,2025-04-04,Electricity Bill,1508.59,Utilities,Expense
381,2025-04-04,Spotify,185.06,Entertainment,Expense
382,2025-04-04,Swiggy,436.15,Food,Expense
383,2025-04-04,Fuel,719.55,Transport,Expense
384,2025-04-04,Metro,68.91,Transport,Expense
385,2025-04-05,Monthly Rent,18306.97,Rent,Expense
386,2025-04-06,Restaurant,376.31,Food,Expense
387,2025-04-06,Auto,62.31,Transport,Expense
388,2025-04-07,Metro,78.59,Transport,Expense
389,2025-04-07,Restaurant,764.0,Food,Expense
390,2025-04-07,Zomato,336.32,Food,Expense
391,2025-04-07,Ola,124.66,Transport,Expense
392,2025-04-08,Spotify,172.97,Entertainment,Expense
393,2025-04-08,Cafe,198.02,Food,Expense
394,2025-04-08,Zomato,302.3,Food,Expense
395,2025-04-08,Grocery Store,328.69,Food,Expense
396,2025-04-08,Swiggy,109.17,Food,Expense
397,2025-04-09,Pharmacy,622.82,Healthcare,Expense
398,2025-04-09,Ola,161.25,Transport,Expense
399,2025-04-09,Ola,210.78,Transport,Expense
400,2025-04-10,Grocery Store,417.55,Food,Expense
401,2025-04-10,Doctor Consultation,690.66,Healthcare,Expense
402,2025-04-10,Cafe,166.17,Food,Expense
403,2025-04-11,Swiggy,444.21,Food,Expense
404,2025-04-11,Zomato,262.71,Food,Expense
405,2025-04-11,Fuel,702.43,Transport,Expense
406,2025-04-11,Fuel,670.89,Transport,Expense
407,2025-04-11,Cafe,345.8,Food,Expense
408,2025-04-12,Zomato,354.6,Food,Expense
409,2025-04-13,Swiggy,135.67,Food,Expense
410,2025-04-13,Fuel,692.48,Transport,Expense
411,2025-04-14,Cafe,321.07,Food,Expense
412,2025-04-14,Internet Bill,873.35,Utilities,Expense
413,2025-04-14,Movie,221.23,Entertainment,Expense
414,2025-04-14,Spotify,150.65,Entertainment,Expense
415,2025-04-14,Swiggy,405.46,Food,Expense
416,2025-04-15,Internet Bill,702.4,Utilities,Expense
417,2025-04-15,Movie,486.78,Entertainment,Expense
418,2025-04-15,Ola,99.49,Transport,Expense
419,2025-04-15,Cafe,109.42,Food,Expense
420,2025-04-16,Swiggy,293.23,Food,Expense
421,2025-04-16,Clothing Store,829.63,Shopping,Expense
422,2025-04-16,Swiggy,209.4,Food,Expense
423,2025-04-16,Pharmacy,475.47,Healthcare,Expense
424,2025-04-17,Metro,58.09,Transport,Expense
425,2025-04-17,Restaurant,885.09,Food,Expense
426,2025-04-17,Fuel,752.59,Transport,Expense
427,2025-04-17,Swiggy,392.72,Food,Expense
428,2025-04-18,Amazon,948.89,Shopping,Expense
429,2025-04-18,Swiggy,119.27,Food,Expense
430,2025-04-18,Metro,72.83,Transport,Expense
431,2025-04-18,Myntra,629.78,Shopping,Expense
432,2025-04-19,Metro,49.21,Transport,Expense
433,2025-04-19,Metro,86.5,Transport,Expense
434,2025-04-19,Amazon,765.89,Shopping,Expense
435,2025-04-19,Auto,124.93,Transport,Expense
436,2025-04-20,Internet Bill,796.38,Utilities,Expense
437,2025-04-20,Movie,315.78,Entertainment,Expense
438,2025-04-20,Auto,175.95,Transport,Expense
439,2025-04-21,Clothing Store,1049.44,Shopping,Expense
440,2025-04-21,Ola,280.77,Transport,Expense
441,2025-04-21,Zomato,302.07,Food,Expense
442,2025-04-22,Clothing Store,1704.25,Shopping,Expense
443,2025-04-22,Doctor Consultation,371.55,Healthcare,Expense
444,2025-04-22,Spotify,165.43,Entertainment,Expense
445,2025-04-22,Ola,159.32,Transport,Expense
446,2025-04-22,Fuel,907.11,Transport,Expense
447,2025-04-23,Amazon,1040.81,Shopping,Expense
448,2025-04-23,Metro,81.35,Transport,Expense
449,2025-04-23,Medical Test,1142.7,Healthcare,Expense
450,2025-04-24,Books,583.1,Education,Expense
451,2025-04-24,Grocery Store,1237.98,Food,Expense
452,2025-04-25,Uber,63.14,Transport,Expense
453,2025-04-25,Myntra,559.68,Shopping,Expense
454,2025-04-25,Flipkart,270.39,Shopping,Expense
455,2025-04-25,Restaurant,264.11,Food,Expense
456,2025-04-25,Pharmacy,609.07,Healthcare,Expense
457,2025-04-25,Swiggy,126.73,Food,Expense
458,2025-04-25,Myntra,1378.48,Shopping,Expense
459,2025-04-25,Swiggy,267.36,Food,Expense
460,2025-04-26,Flipkart,474.55,Shopping,Expense
461,2025-04-26,Cafe,149.67,Food,Expense
462,2025-04-26,Fuel,582.29,Transport,Expense
463,2025-04-26,Mobile Recharge,493.29,Utilities,Expense
464,2025-04-27,Doctor Consultation,839.82,Healthcare,Expense
465,2025-04-27,Swiggy,382.02,Food,Expense
466,2025-04-27,Books,542.23,Education,Expense
467,2025-04-27,Zomato,328.81,Food,Expense
468,2025-04-27,Zomato,423.9,Food,Expense
469,2025-04-28,Amazon,1214.22,Shopping,Expense
470,2025-04-29,Metro,37.52,Transport,Expense
471,2025-04-29,Gaming,771.04,Entertainment,Expense
472,2025-04-30,Ola,224.97,Transport,Expense
473,2025-04-30,Swiggy,347.25,Food,Expense
474,2025-04-30,Ola,106.35,Transport,Expense
475,2025-05-01,Restaurant,351.39,Food,Expense
476,2025-05-01,Cafe,292.91,Food,Expense
477,2025-05-01,Monthly Salary,89154.95,Salary,Income
478,2025-05-02,Fuel,437.24,Transport,Expense
479,2025-05-02,Zomato,358.78,Food,Expense
480,2025-05-02,Grocery Store,1501.89,Food,Expense
481,2025-05-02,Cafe,146.48,Food,Expense
482,2025-05-02,Flipkart,1248.53,Shopping,Expense
483,2025-05-03,Cafe,266.07,Food,Expense
484,2025-05-04,Swiggy,230.66,Food,Expense
485,2025-05-04,Zomato,297.39,Food,Expense
486,2025-05-04,Grocery Store,1655.96,Food,Expense
487,2025-05-05,Ola,219.45,Transport,Expense
488,2025-05-05,Myntra,782.63,Shopping,Expense
489,2025-05-05,Monthly Rent,18217.02,Rent,Expense
490,2025-05-05,Electricity Bill,885.65,Utilities,Expense
491,2025-05-05,Fuel,773.92,Transport,Expense
492,2025-05-05,Cafe,148.15,Food,Expense
493,2025-05-06,Medical Test,1639.92,Healthcare,Expense
494,2025-05-06,Cafe,179.64,Food,Expense
495,2025-05-06,Zomato,412.43,Food,Expense
496,2025-05-06,Auto,62.42,Transport,Expense
497,2025-05-07,Grocery Store,704.92,Food,Expense
498,2025-05-07,Netflix,649.0,Entertainment,Expense
499,2025-05-07,Auto,135.45,Transport,Expense
500,2025-05-08,Ola,126.16,Transport,Expense
501,2025-05-08,Zomato,317.47,Food,Expense
502,2025-05-08,Myntra,1014.42,Shopping,Expense
503,2025-05-08,Movie,506.33,Entertainment,Expense
504,2025-05-09,Pharmacy,614.97,Healthcare,Expense
505,2025-05-09,Zomato,233.89,Food,Expense
506,2025-05-09,Metro,41.7,Transport,Expense
507,2025-05-09,Fuel,404.06,Transport,Expense
508,2025-05-09,Grocery Store,1542.64,Food,Expense
509,2025-05-09,Clothing Store,699.41,Shopping,Expense
510,2025-05-10,Swiggy,210.44,Food,Expense
511,2025-05-10,Internet Bill,782.65,Utilities,Expense
512,2025-05-10,Auto,155.03,Transport,Expense
513,2025-05-10,Electricity Bill,892.3,Utilities,Expense
514,2025-05-10,Swiggy,436.67,Food,Expense
515,2025-05-11,Ola,109.32,Transport,Expense
516,2025-05-12,Movie,320.11,Entertainment,Expense
517,2025-05-12,Netflix,649.0,Entertainment,Expense
518,2025-05-14,Zomato,130.46,Food,Expense
519,2025-05-14,Swiggy,336.92,Food,Expense
520,2025-05-14,Electricity Bill,821.8,Utilities,Expense
521,2025-05-14,Cafe,269.32,Food,Expense
522,2025-05-14,Grocery Store,1245.33,Food,Expense
